[08:52:00] Loading cached arrays from C:\datasets\cache\tls-year22_S_121012501890
[08:52:03] Teacher A targets at T in [1.0, 2.0, 4.0]
[09:57:22] kdA_T1_a0.9_long epoch 2/20: train_loss=0.5005, seconds=24.4, val_loss=0.4313, val_macro_f1=0.8274
[09:57:47] kdA_T1_a0.9_long epoch 3/20: train_loss=0.3545, seconds=25, val_loss=0.3573, val_macro_f1=0.852
[09:58:12] kdA_T1_a0.9_long epoch 4/20: train_loss=0.2975, seconds=24.6, val_loss=0.3261, val_macro_f1=0.866
[09:58:37] kdA_T1_a0.9_long epoch 5/20: train_loss=0.2655, seconds=24.8, val_loss=0.3002, val_macro_f1=0.8809
[09:59:03] kdA_T1_a0.9_long epoch 6/20: train_loss=0.243, seconds=24.9, val_loss=0.2807, val_macro_f1=0.886
[09:59:28] kdA_T1_a0.9_long epoch 7/20: train_loss=0.2255, seconds=24.7, val_loss=0.2745, val_macro_f1=0.8849
[09:59:53] kdA_T1_a0.9_long epoch 8/20: train_loss=0.2117, seconds=24.3, val_loss=0.2554, val_macro_f1=0.8955
[10:00:18] kdA_T1_a0.9_long epoch 9/20: train_loss=0.1997, seconds=25.3, val_loss=0.2514, val_macro_f1=0.8995
[10:00:43] kdA_T1_a0.9_long epoch 10/20: train_loss=0.1894, seconds=24.1, val_loss=0.238, val_macro_f1=0.9031
[10:01:08] kdA_T1_a0.9_long epoch 11/20: train_loss=0.1794, seconds=24.9, val_loss=0.2324, val_macro_f1=0.9046
[10:01:33] kdA_T1_a0.9_long epoch 12/20: train_loss=0.1714, seconds=24.1, val_loss=0.2264, val_macro_f1=0.9068
[10:01:57] kdA_T1_a0.9_long epoch 13/20: train_loss=0.1634, seconds=23.9, val_loss=0.2217, val_macro_f1=0.9107
[10:02:22] kdA_T1_a0.9_long epoch 14/20: train_loss=0.1565, seconds=24.5, val_loss=0.2172, val_macro_f1=0.9114
[10:02:48] kdA_T1_a0.9_long epoch 15/20: train_loss=0.1504, seconds=25, val_loss=0.2122, val_macro_f1=0.9134
[10:03:16] kdA_T1_a0.9_long epoch 16/20: train_loss=0.1453, seconds=27.5, val_loss=0.2094, val_macro_f1=0.9136
[10:03:44] kdA_T1_a0.9_long epoch 17/20: train_loss=0.1412, seconds=27.5, val_loss=0.2082, val_macro_f1=0.9144
[10:04:11] kdA_T1_a0.9_long epoch 18/20: train_loss=0.1379, seconds=26.8, val_loss=0.2061, val_macro_f1=0.9146
[10:04:36] kdA_T1_a0.9_long epoch 19/20: train_loss=0.1356, seconds=24.3, val_loss=0.2056, val_macro_f1=0.9152
[10:05:00] kdA_T1_a0.9_long epoch 20/20: train_loss=0.1346, seconds=24.2, val_loss=0.2056, val_macro_f1=0.9154
[10:05:00] kdA_T1_a0.9_long: macro-F1 0.9154 (epoch 20)
[10:05:01] Validation macro-F1 (known flows):
 epochs method  best_epoch  macro_f1  val_loss  minutes  kd_temperature  kd_alpha  label_smoothing
     10 direct          10       0.9    0.2424      9.5             NaN       NaN              NaN
     10     kd          10    0.9012    0.2384      4.5               1       0.5              NaN
     10     kd          10    0.9034    0.2378      4.4               1       0.9              NaN
     10     kd          10    0.8993    0.2723      4.6               2       0.5              NaN
     10     kd          10    0.9005    0.2778      3.1               2       0.9              NaN
     10     kd          10    0.8879    0.3196      2.4               4       0.5              NaN
     10     kd          10    0.8821    0.3507      4.5               4       0.9              NaN
     10     ls           9    0.8929    0.3141      3.3             NaN       NaN             0.05
     10     ls           9    0.8876    0.3874      4.2             NaN       NaN              0.1
     10     ls           8    0.8782    0.5288      4.5             NaN       NaN              0.2
     20 direct          19     0.915    0.2068      7.6             NaN       NaN              NaN
     20     kd          20    0.9154    0.2056      8.5               1       0.9              NaN
[10:05:01] Wrote C:\Users\Mahmoud\OneDrive\Desktop\Knowledge Distillation\configs\student_hparams.json
