[23:41:57] KD settings: T=4, alpha=0.9; student epochs 20, teacher epochs 10
[00:31:47] both_kd_rho0.5_s0 epoch 6/20: train_loss=2.475, seconds=10.8, val_loss=0.3238, val_macro_f1=0.8904
[00:31:58] both_kd_rho0.5_s0 epoch 7/20: train_loss=2.353, seconds=10.7, val_loss=0.3265, val_macro_f1=0.8915
[00:32:09] both_kd_rho0.5_s0 epoch 8/20: train_loss=2.255, seconds=10.7, val_loss=0.3088, val_macro_f1=0.8957
[00:32:21] both_kd_rho0.5_s0 epoch 9/20: train_loss=2.18, seconds=10.8, val_loss=0.2917, val_macro_f1=0.9007
[00:32:32] both_kd_rho0.5_s0 epoch 10/20: train_loss=2.113, seconds=10.8, val_loss=0.2847, val_macro_f1=0.9018
[00:32:43] both_kd_rho0.5_s0 epoch 11/20: train_loss=2.058, seconds=10.8, val_loss=0.282, val_macro_f1=0.9031
[00:32:54] both_kd_rho0.5_s0 epoch 12/20: train_loss=2.008, seconds=10.9, val_loss=0.2759, val_macro_f1=0.9048
[00:33:05] both_kd_rho0.5_s0 epoch 13/20: train_loss=1.966, seconds=10.6, val_loss=0.2699, val_macro_f1=0.9053
[00:33:16] both_kd_rho0.5_s0 epoch 14/20: train_loss=1.928, seconds=10.7, val_loss=0.2656, val_macro_f1=0.9067
[00:33:28] both_kd_rho0.5_s0 epoch 15/20: train_loss=1.897, seconds=11, val_loss=0.2617, val_macro_f1=0.9086
[00:33:39] both_kd_rho0.5_s0 epoch 16/20: train_loss=1.869, seconds=10.8, val_loss=0.2603, val_macro_f1=0.9091
[00:33:50] both_kd_rho0.5_s0 epoch 17/20: train_loss=1.849, seconds=11, val_loss=0.2593, val_macro_f1=0.9098
[00:34:01] both_kd_rho0.5_s0 epoch 18/20: train_loss=1.834, seconds=10.7, val_loss=0.2578, val_macro_f1=0.9096
[00:34:12] both_kd_rho0.5_s0 epoch 19/20: train_loss=1.822, seconds=10.8, val_loss=0.2583, val_macro_f1=0.9102
[00:34:24] both_kd_rho0.5_s0 epoch 20/20: train_loss=1.818, seconds=10.7, val_loss=0.2586, val_macro_f1=0.9103
[00:34:35] teacheronly_kd_rho0.5_s0 epoch 1/20: train_loss=19.39, seconds=10.8, val_loss=1.031, val_macro_f1=0.6793
[00:34:46] teacheronly_kd_rho0.5_s0 epoch 2/20: train_loss=5.306, seconds=10.8, val_loss=0.6437, val_macro_f1=0.7982
[00:34:58] teacheronly_kd_rho0.5_s0 epoch 3/20: train_loss=3.816, seconds=11.1, val_loss=0.5147, val_macro_f1=0.8405
[00:35:09] teacheronly_kd_rho0.5_s0 epoch 4/20: train_loss=3.315, seconds=10.8, val_loss=0.4745, val_macro_f1=0.8522
[00:35:20] teacheronly_kd_rho0.5_s0 epoch 5/20: train_loss=3.039, seconds=10.7, val_loss=0.4434, val_macro_f1=0.8601
[00:35:31] teacheronly_kd_rho0.5_s0 epoch 6/20: train_loss=2.859, seconds=10.8, val_loss=0.4147, val_macro_f1=0.8682
[00:35:42] teacheronly_kd_rho0.5_s0 epoch 7/20: train_loss=2.724, seconds=10.7, val_loss=0.4049, val_macro_f1=0.8715
[00:35:53] teacheronly_kd_rho0.5_s0 epoch 8/20: train_loss=2.616, seconds=10.9, val_loss=0.3913, val_macro_f1=0.8736
[00:36:05] teacheronly_kd_rho0.5_s0 epoch 9/20: train_loss=2.531, seconds=10.8, val_loss=0.3664, val_macro_f1=0.8822
[00:36:16] teacheronly_kd_rho0.5_s0 epoch 10/20: train_loss=2.459, seconds=10.9, val_loss=0.3662, val_macro_f1=0.8829
[00:36:27] teacheronly_kd_rho0.5_s0 epoch 11/20: train_loss=2.394, seconds=10.8, val_loss=0.3559, val_macro_f1=0.885
[00:36:38] teacheronly_kd_rho0.5_s0 epoch 12/20: train_loss=2.342, seconds=10.8, val_loss=0.3496, val_macro_f1=0.8888
[00:36:49] teacheronly_kd_rho0.5_s0 epoch 13/20: train_loss=2.292, seconds=10.6, val_loss=0.3418, val_macro_f1=0.8903
[00:37:00] teacheronly_kd_rho0.5_s0 epoch 14/20: train_loss=2.252, seconds=10.6, val_loss=0.3384, val_macro_f1=0.8899
[00:37:11] teacheronly_kd_rho0.5_s0 epoch 15/20: train_loss=2.214, seconds=10.7, val_loss=0.3322, val_macro_f1=0.8916
[00:37:23] teacheronly_kd_rho0.5_s0 epoch 16/20: train_loss=2.184, seconds=10.8, val_loss=0.3307, val_macro_f1=0.8922
[00:37:34] teacheronly_kd_rho0.5_s0 epoch 17/20: train_loss=2.161, seconds=10.8, val_loss=0.3282, val_macro_f1=0.8931
[00:37:45] teacheronly_kd_rho0.5_s0 epoch 18/20: train_loss=2.143, seconds=10.7, val_loss=0.3267, val_macro_f1=0.8936
[00:37:56] teacheronly_kd_rho0.5_s0 epoch 19/20: train_loss=2.131, seconds=10.7, val_loss=0.3262, val_macro_f1=0.8935
[00:38:07] teacheronly_kd_rho0.5_s0 epoch 20/20: train_loss=2.125, seconds=10.6, val_loss=0.3251, val_macro_f1=0.8935
[00:38:39] rho=0.5 seed=0: teacher drop=0.036, student_both_direct drop=0.068, student_both_kd drop=0.071
[00:40:04] teacher_rho0.9_s0 epoch 1/10: train_loss=0.5353, seconds=82.3, val_loss=0.177, val_macro_f1=0.9154
[00:41:29] teacher_rho0.9_s0 epoch 2/10: train_loss=0.1276, seconds=82.3, val_loss=0.1089, val_macro_f1=0.9481
[00:42:54] teacher_rho0.9_s0 epoch 3/10: train_loss=0.09271, seconds=82.2, val_loss=0.09133, val_macro_f1=0.9567
[00:44:19] teacher_rho0.9_s0 epoch 4/10: train_loss=0.07395, seconds=82.2, val_loss=0.08037, val_macro_f1=0.9613
[00:45:44] teacher_rho0.9_s0 epoch 5/10: train_loss=0.05932, seconds=82.2, val_loss=0.06892, val_macro_f1=0.9658
[00:47:09] teacher_rho0.9_s0 epoch 6/10: train_loss=0.04619, seconds=82.2, val_loss=0.06344, val_macro_f1=0.9687
[00:48:33] teacher_rho0.9_s0 epoch 7/10: train_loss=0.0343, seconds=82.2, val_loss=0.05679, val_macro_f1=0.9734
[00:49:58] teacher_rho0.9_s0 epoch 8/10: train_loss=0.02459, seconds=82.2, val_loss=0.0535, val_macro_f1=0.976
[00:51:23] teacher_rho0.9_s0 epoch 9/10: train_loss=0.01822, seconds=82.2, val_loss=0.05162, val_macro_f1=0.9768
[00:52:48] teacher_rho0.9_s0 epoch 10/10: train_loss=0.01491, seconds=82.2, val_loss=0.0515, val_macro_f1=0.9771
[00:53:26] both_direct_rho0.9_s0 epoch 1/20: train_loss=1.618, seconds=10.3, val_loss=0.3564, val_macro_f1=0.8303
[00:53:36] both_direct_rho0.9_s0 epoch 2/20: train_loss=0.2913, seconds=10.3, val_loss=0.2309, val_macro_f1=0.8934
[00:53:47] both_direct_rho0.9_s0 epoch 3/20: train_loss=0.2109, seconds=10.2, val_loss=0.1853, val_macro_f1=0.9133
[00:53:58] both_direct_rho0.9_s0 epoch 4/20: train_loss=0.1784, seconds=10.3, val_loss=0.1634, val_macro_f1=0.9227
[00:54:08] both_direct_rho0.9_s0 epoch 5/20: train_loss=0.1594, seconds=10.2, val_loss=0.1497, val_macro_f1=0.9296
[00:54:19] both_direct_rho0.9_s0 epoch 6/20: train_loss=0.1459, seconds=10.2, val_loss=0.143, val_macro_f1=0.9321
[00:54:29] both_direct_rho0.9_s0 epoch 7/20: train_loss=0.1349, seconds=10.2, val_loss=0.137, val_macro_f1=0.9344
[00:54:40] both_direct_rho0.9_s0 epoch 8/20: train_loss=0.1267, seconds=10.2, val_loss=0.1307, val_macro_f1=0.9384
[00:54:51] both_direct_rho0.9_s0 epoch 9/20: train_loss=0.1189, seconds=10.2, val_loss=0.1252, val_macro_f1=0.9406
[00:55:01] both_direct_rho0.9_s0 epoch 10/20: train_loss=0.1122, seconds=10.2, val_loss=0.1212, val_macro_f1=0.9437
[00:55:12] both_direct_rho0.9_s0 epoch 11/20: train_loss=0.1063, seconds=10.2, val_loss=0.115, val_macro_f1=0.9471
[00:55:23] both_direct_rho0.9_s0 epoch 12/20: train_loss=0.1008, seconds=10.3, val_loss=0.1126, val_macro_f1=0.9479
[00:55:33] both_direct_rho0.9_s0 epoch 13/20: train_loss=0.09542, seconds=10.3, val_loss=0.1094, val_macro_f1=0.9488
[00:55:44] both_direct_rho0.9_s0 epoch 14/20: train_loss=0.09094, seconds=10.3, val_loss=0.1067, val_macro_f1=0.9498
[00:55:55] both_direct_rho0.9_s0 epoch 15/20: train_loss=0.08677, seconds=10.2, val_loss=0.1047, val_macro_f1=0.951
[00:56:05] both_direct_rho0.9_s0 epoch 16/20: train_loss=0.08344, seconds=10.3, val_loss=0.1036, val_macro_f1=0.9513
[00:56:16] both_direct_rho0.9_s0 epoch 17/20: train_loss=0.08067, seconds=10.3, val_loss=0.1014, val_macro_f1=0.9522
[00:56:26] both_direct_rho0.9_s0 epoch 18/20: train_loss=0.07862, seconds=10.3, val_loss=0.1014, val_macro_f1=0.9528
[00:56:37] both_direct_rho0.9_s0 epoch 19/20: train_loss=0.07706, seconds=10.3, val_loss=0.1008, val_macro_f1=0.9529
[00:56:48] both_direct_rho0.9_s0 epoch 20/20: train_loss=0.07623, seconds=10.3, val_loss=0.1009, val_macro_f1=0.9533
[00:56:59] both_kd_rho0.9_s0 epoch 1/20: train_loss=19.65, seconds=10.6, val_loss=0.543, val_macro_f1=0.7933
[00:57:10] both_kd_rho0.9_s0 epoch 2/20: train_loss=3.41, seconds=10.6, val_loss=0.2948, val_macro_f1=0.8977
[00:57:21] both_kd_rho0.9_s0 epoch 3/20: train_loss=2.369, seconds=10.5, val_loss=0.2327, val_macro_f1=0.9142
[00:57:32] both_kd_rho0.9_s0 epoch 4/20: train_loss=2.027, seconds=11, val_loss=0.2047, val_macro_f1=0.9238
[00:57:43] both_kd_rho0.9_s0 epoch 5/20: train_loss=1.845, seconds=10.7, val_loss=0.1915, val_macro_f1=0.9284
[00:57:54] both_kd_rho0.9_s0 epoch 6/20: train_loss=1.725, seconds=10.6, val_loss=0.1782, val_macro_f1=0.9316
[00:58:05] both_kd_rho0.9_s0 epoch 7/20: train_loss=1.636, seconds=10.5, val_loss=0.1701, val_macro_f1=0.9345
[00:58:16] both_kd_rho0.9_s0 epoch 8/20: train_loss=1.568, seconds=10.5, val_loss=0.1662, val_macro_f1=0.9377
[00:58:27] both_kd_rho0.9_s0 epoch 9/20: train_loss=1.513, seconds=10.8, val_loss=0.1574, val_macro_f1=0.9384
