model,split,flows,unknown,temperature,n_known,n_unknown,accuracy,macro_f1,auroc_maha,fpr95_maha,oscr_maha,auroc_knnfeat,fpr95_knnfeat,oscr_knnfeat,ece,nll,brier,aurc,start,weeks_since
student_direct_s0,test_w45-48,ge5,all,,95040,92738,0.8679713804713804,0.7946186894785056,0.704105104650475,0.8928594535142013,0.6300945239913421,0.7465250080364705,0.8124285621859432,0.6743998126478541,0.05454195095006667,0.6661513447761536,0.19795015460729368,0.020702401694044106,24,19.5
student_direct_s0,test_w45-48,ge5,near,,95040,9889,0.8679713804713804,0.7946186894785056,0.7612086846019435,0.8085751845484882,0.6765804012501732,0.814733878011415,0.7897664071190211,0.732508932058305,0.05454195095006667,0.6661513447761536,0.19795015460729368,0.020702401694044106,24,19.5
student_direct_s0,test_w45-48,ge5,far,,95040,82849,0.8679713804713804,0.7946186894785056,0.6972891225367492,0.9029197697015051,0.6245458892436375,0.7383834792892046,0.8151335562288018,0.6674638076043418,0.05454195095006667,0.6661513447761536,0.19795015460729368,0.020702401694044106,24,19.5
student_direct_s0,test_w49-51,all,all,,100000,100000,0.83506,0.7598003961390675,0.6906943720000001,0.8986,0.6012798494,0.7323187737000001,0.82901,0.6429347542999999,0.07406452418386936,0.9033739566802979,0.24731936589591066,0.02983598052965026,24,23.0
student_direct_s0,test_w49-51,all,near,,100000,12082,0.83506,0.7598003961390675,0.7471916657010429,0.8228770071180268,0.6452629730177122,0.8127201229101142,0.8035921205098494,0.7087125848369475,0.07406452418386936,0.9033739566802979,0.24731936589591066,0.02983598052965026,24,23.0
student_direct_s0,test_w49-51,all,far,,100000,87918,0.83506,0.7598003961390675,0.6829303156918947,0.9090061193384745,0.5952355342478217,0.7212697382219796,0.8325030141722969,0.6338953340612844,0.07406452418386936,0.9033739566802979,0.24731936589591066,0.02983598052965026,24,23.0
student_direct_s0,test_w49-51,ge5,all,,94427,93681,0.8424920838319548,0.7665926224953423,0.6899449312502114,0.9005134445618642,0.6075347504916226,0.7374881713513722,0.827841291190316,0.6551946527743632,0.07329609771021878,0.8476060032844543,0.23420049215335254,0.026074104917255207,24,23.0
student_direct_s0,test_w49-51,ge5,near,,94427,11739,0.8424920838319548,0.7665926224953423,0.7462522962318424,0.8265610358633615,0.65155831571601,0.8165612916463887,0.807564528494761,0.7206814573344298,0.07329609771021878,0.8476060032844543,0.23420049215335254,0.026074104917255207,24,23.0
student_direct_s0,test_w49-51,ge5,far,,94427,81942,0.8424920838319548,0.7665926224953423,0.6818783456467434,0.9111078567767446,0.6012279404043771,0.726160166675587,0.8307461375118986,0.6458130218801866,0.07329609771021878,0.8476060032844543,0.23420049215335254,0.026074104917255207,24,23.0
student_direct_s1,val,all,all,,200000,37194,0.95323,0.926331666568323,0.7018437124939507,0.8947142012152498,0.6744605330160779,0.8064403618863257,0.7710921116309082,0.7761650229875787,0.0022250471910462283,0.1722865104675293,0.06820112639008426,0.003082386575522661,24,1.0
student_direct_s1,val,all,near,,200000,10090,0.95323,0.926331666568323,0.6410261142220021,0.9355797819623389,0.6172252096134786,0.7282337834489594,0.8665014866204163,0.7028189871159564,0.0022250471910462283,0.1722865104675293,0.06820112639008426,0.003082386575522661,24,1.0
student_direct_s1,val,all,far,,200000,27104,0.95323,0.926331666568323,0.7244842661599764,0.8795011806375442,0.6957675140200708,0.8355543072978158,0.7355740850059032,0.8034695353084415,0.0022250471910462283,0.1722865104675293,0.06820112639008426,0.003082386575522661,24,1.0
student_direct_s1,val,ge5,all,,191393,35514,0.957777975161056,0.9310396471632476,0.7112100818091603,0.8931970490510784,0.6873273533532522,0.8226226345872625,0.7701469842878864,0.796176137904014,0.0026274197895154974,0.15473677217960358,0.0615913233022774,0.0025668617423615474,24,1.0
student_direct_s1,val,ge5,near,,191393,9767,0.957777975161056,0.9310396471632476,0.6445867876453897,0.9368280946042797,0.6243823129033711,0.7343093728586157,0.8667963550732057,0.7130267114698475,0.0026274197895154974,0.15473677217960358,0.0615913233022774,0.0025668617423615474,24,1.0
student_direct_s1,val,ge5,far,,191393,25747,0.957777975161056,0.9310396471632476,0.7364833064216414,0.8766458228143085,0.7112052501984766,0.8561238435554411,0.7334835126422495,0.8277184709130053,0.0026274197895154974,0.15473677217960358,0.0615913233022774,0.0025668617423615474,24,1.0
student_direct_s1,test_w29-32,all,all,,100000,100000,0.93436,0.8850505705630105,0.75028343215,0.85747,0.7104441854,0.82361071745,0.69863,0.7809004265999999,0.012952679652422645,0.27357593178749084,0.09736778548191692,0.0061302509900984965,24,3.5
student_direct_s1,test_w29-32,all,near,,100000,16111,0.93436,0.8850505705630105,0.7598649968965303,0.8252746570666004,0.7192723797405499,0.8618473952578982,0.6993979268822543,0.8163682564707343,0.012952679652422645,0.27357593178749084,0.09736778548191692,0.0061302509900984965,24,3.5
student_direct_s1,test_w29-32,all,far,,100000,83889,0.93436,0.8850505705630105,0.7484432792141997,0.8636531607242904,0.7087487183063332,0.8162673098976029,0.6984825185662006,0.774088780173801,0.012952679652422645,0.27357593178749084,0.09736778548191692,0.0061302509900984965,24,3.5
student_direct_s1,test_w29-32,ge5,all,,95313,94723,0.9390744179702664,0.889232229708988,0.7551873429124716,0.8571624631821205,0.7195044742886824,0.832417115164813,0.6917010652111948,0.793860264528987,0.014303065718315258,0.2563527822494507,0.09081710257597995,0.005378893280541765,24,3.5
student_direct_s1,test_w29-32,ge5,near,,95313,15529,0.9390744179702664,0.889232229708988,0.7638759665590628,0.8252946100843583,0.7275116495851864,0.8717099972119272,0.6994011204842553,0.8305359244253125,0.014303065718315258,0.2563527822494507,0.09081710257597995,0.005378893280541765,24,3.5
student_direct_s1,test_w29-32,ge5,far,,95313,79194,0.9390744179702664,0.889232229708988,0.7534836073187662,0.8634113695481981,0.7179343625986628,0.8247122490725631,0.6901911760991994,0.786668604522799,0.014303065718315258,0.2563527822494507,0.09081710257597995,0.005378893280541765,24,3.5
student_direct_s1,test_w33-36,all,all,,100000,100000,0.90443,0.8419162536562603,0.7268596381499999,0.87428,0.6702823584000001,0.80169453385,0.72674,0.7401466130000001,0.030236686083674455,0.3960925340652466,0.1372424834265997,0.010911714599208732,24,7.5
student_direct_s1,test_w33-36,all,near,,100000,15732,0.90443,0.8419162536562603,0.7513594129799135,0.8439486397152302,0.6921099122807018,0.8520991015128401,0.7274980930587338,0.7852695868293923,0.030236686083674455,0.3960925340652466,0.1372424834265997,0.010911714599208732,24,7.5
student_direct_s1,test_w33-36,all,far,,100000,84268,0.90443,0.8419162536562603,0.7222857731285898,0.8799425641999336,0.6662073705321118,0.7922845008781506,0.7265984715431718,0.7317226012246641,0.030236686083674455,0.3960925340652466,0.1372424834265997,0.010911714599208732,24,7.5
student_direct_s1,test_w33-36,ge5,all,,95121,93782,0.9115442436475647,0.846923070091481,0.7351952150063472,0.8746881064596618,0.6832628829096495,0.8134953752748684,0.7183148152097417,0.7579012313342011,0.030144530939665598,0.3758455216884613,0.12879956858312647,0.009630627018950377,24,7.5
student_direct_s1,test_w33-36,ge5,near,,95121,15221,0.9115442436475647,0.846923070091481,0.7545589938168311,0.8477104001051179,0.7006991798669929,0.8598940780022656,0.7287957427238684,0.7998118477088709,0.030144530939665598,0.3758455216884613,0.12879956858312647,0.009630627018950377,24,7.5
student_direct_s1,test_w33-36,ge5,far,,95121,78561,0.9115442436475647,0.846923070091481,0.7314435306174726,0.8799149705324525,0.679884643376195,0.8045057410516061,0.716284161352325,0.7497811527730976,0.030144530939665598,0.3758455216884613,0.12879956858312647,0.009630627018950377,24,7.5
student_direct_s1,test_w37-40,all,all,,100000,100000,0.88472,0.8259685220173208,0.702218224,0.88807,0.6355690452,0.7682814038,0.77053,0.6974560830000001,0.041595810029804725,0.4867745339870453,0.16487304265721206,0.015331625031381677,24,11.5
student_direct_s1,test_w37-40,all,near,,100000,12184,0.88472,0.8259685220173208,0.7405346930400526,0.8565331582403152,0.6691376403479975,0.8333926185981615,0.754021667760998,0.7546976690741957,0.041595810029804725,0.4867745339870453,0.16487304265721206,0.015331625031381677,24,11.5
student_direct_s1,test_w37-40,all,far,,100000,87816,0.88472,0.8259685220173208,0.6969020189942606,0.8924455680058304,0.6309115822856883,0.7592475712284779,0.7728204427439191,0.6895141192948894,0.041595810029804725,0.4867745339870453,0.16487304265721206,0.015331625031381677,24,11.5
student_direct_s1,test_w37-40,ge5,all,,95295,92226,0.8929744477674589,0.8316128842670278,0.7159967357747841,0.8860299698566565,0.6539852490670817,0.785620069466044,0.7619218007937024,0.7209955461929628,0.04080630034025347,0.46253612637519836,0.15587476187966715,0.01379472574034739,24,11.5
student_direct_s1,test_w37-40,ge5,near,,95295,11717,0.8929744477674589,0.8316128842670278,0.7448148307813496,0.8573013570026458,0.6794944415181503,0.8432140094492738,0.7546300247503627,0.7720960219910321,0.04080630034025347,0.46253612637519836,0.15587476187966715,0.01379472574034739,24,11.5
student_direct_s1,test_w37-40,ge5,far,,95295,80509,0.8929744477674589,0.8316128842670278,0.7118026504030627,0.8902110323069471,0.6502727298711014,0.7772380476450861,0.762983020531866,0.7135585605773673,0.04080630034025347,0.46253612637519836,0.15587476187966715,0.01379472574034739,24,11.5
student_direct_s1,test_w41-44,all,all,,100000,100000,0.87748,0.8120799712902153,0.7021202699000001,0.89035,0.6314098721,0.76517987325,0.77119,0.6909631768000001,0.04733178499564524,0.5534787178039551,0.17831048918515816,0.01775246237395333,24,15.5
student_direct_s1,test_w41-44,all,near,,100000,11009,0.87748,0.8120799712902153,0.7320566014170224,0.864292851303479,0.6573178989917339,0.8267560859296939,0.7581070033608865,0.7445612299028068,0.04733178499564524,0.5534787178039551,0.17831048918515816,0.01775246237395333,24,15.5
student_direct_s1,test_w41-44,all,far,,100000,88991,0.87748,0.8120799712902153,0.6984168720994258,0.893573507433336,0.6282048123967592,0.7575623329887292,0.7728084862514187,0.684332607791799,0.04733178499564524,0.5534787178039551,0.17831048918515816,0.01775246237395333,24,15.5
student_direct_s1,test_w41-44,ge5,all,,95403,93678,0.8853704810121275,0.8183038380598887,0.7090366141494842,0.8900595657464933,0.6436800997205665,0.7750675538425053,0.7664766540703261,0.7075037524713238,0.04695626245787474,0.5298236608505249,0.16950167412752268,0.016080898818943357,24,15.5
student_direct_s1,test_w41-44,ge5,near,,95403,10688,0.8853704810121275,0.8183038380598887,0.7335387512254192,0.8659244011976048,0.6651466619997326,0.8328304227093437,0.7618824850299402,0.7583232288606649,0.04695626245787474,0.5298236608505249,0.16950167412752268,0.016080898818943357,24,15.5
